14	14	14	13	13	6	6	11	11	11	10	10	10	5	5	5	5	4	4	4
14	14	14	13	13	6	6	11	11	11	10	10	10	5	5	5	5	4	4	4
14	14	14	13	13	6	6	11	11	11	10	10	10	5	5	5	5	4	4	4
14	14	14	13	13	6	6	11	11	11	10	10	10	5	5	5	5	4	4	4
14	14	14	13	13	6	6	11	11	11	10	10	10	5	5	5	5	4	4	4
14	14	14	13	13	6	6	11	11	11	10	10	10	5	5	5	5	4	4	4
14	14	14	13	13	6	6	11	11	11	10	10	10	5	5	5	5	4	4	4
14	14	14	13	13	6	6	11	11	11	10	10	10	5	5	5	5	4	4	4
14	14	14	13	13	6	6	7	7	7	7	7	7	7	15	15	15	2	2	2
14	14	14	13	13	6	6	7	7	7	7	7	7	7	15	15	15	2	2	2
14	14	14	13	13	6	6	7	7	7	7	7	7	7	15	15	15	2	2	2
14	14	14	13	13	6	6	9	9	9	9	8	8	8	15	15	15	2	2	2
1	1	1	1	1	1	1	9	9	9	9	8	8	8	12	12	3	3	3	3
1	1	1	1	1	1	1	9	9	9	9	8	8	8	12	12	3	3	3	3
1	1	1	1	1	1	1	9	9	9	9	8	8	8	12	12	3	3	3	3
1	1	1	1	1	1	1	9	9	9	9	8	8	8	12	12	3	3	3	3
